similitud,pieza_1,no_parte_1,pieza_2,no_parte_2,razon_no_fusion
96.8,"CODO NEGRO SOLDABLE CED 30 2"" *45°",CODO N-039,"CODO NEGRO SOLDABLE CED 30 5"" * 45°",CODO N-036,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 2"" *45°",CODO N-039,"CODO NEGRO SOLDABLE CED 40 2"" * 45°",CODO N-022,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 2"" * 90°",CODO N-031,"CODO NEGRO SOLDABLE CED 30 3"" * 90°",CODO N-030,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 2"" * 90°",CODO N-031,"CODO NEGRO SOLDABLE CED 30 4"" * 90°",CODO N-029,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 2"" * 90°",CODO N-031,"CODO NEGRO SOLDABLE CED 30 5"" * 90°",CODO N-028,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 2"" * 90°",CODO N-031,"CODO NEGRO SOLDABLE CED 30 6"" * 90°",CODO N-027,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 2"" * 90°",CODO N-031,CODO NEGRO SOLDABLE CED 40 2*90°,CODO N-013,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 3""*45°",CODO N-038,"CODO NEGRO SOLDABLE CED 30 4"" *45°",CODO N-037,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 3""*45°",CODO N-038,"CODO NEGRO SOLDABLE CED 30 5"" * 45°",CODO N-036,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 3""*45°",CODO N-038,"CODO NEGRO SOLDABLE CED 40 3"" * 45°",CODO N-021,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 3"" * 90°",CODO N-030,"CODO NEGRO SOLDABLE CED 30 4"" * 90°",CODO N-029,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 3"" * 90°",CODO N-030,"CODO NEGRO SOLDABLE CED 30 5"" * 90°",CODO N-028,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 3"" * 90°",CODO N-030,"CODO NEGRO SOLDABLE CED 30 6"" * 90°",CODO N-027,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 3"" * 90°",CODO N-030,CODO NEGRO SOLDABLE CED 40 3*90°,CODO N-012,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 4"" *45°",CODO N-037,"CODO NEGRO SOLDABLE CED 30 5"" * 45°",CODO N-036,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 4"" *45°",CODO N-037,"CODO NEGRO SOLDABLE CED 40 4"" * 45°",CODO N-020,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 4"" * 90°",CODO N-029,"CODO NEGRO SOLDABLE CED 30 5"" * 90°",CODO N-028,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 4"" * 90°",CODO N-029,"CODO NEGRO SOLDABLE CED 30 6"" * 90°",CODO N-027,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 4"" * 90°",CODO N-029,CODO NEGRO SOLDABLE CED 40 4*90°,CODO N-011,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 5"" * 45°",CODO N-036,CODO NEGRO SOLDABLE CED 40 5 * 45°,CODO N-019,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 30 5"" * 90°",CODO N-028,"CODO NEGRO SOLDABLE CED 30 6"" * 90°",CODO N-027,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 40 1"" * 45°",CODO N-024,"CODO NEGRO SOLDABLE CED 40 2"" * 45°",CODO N-022,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 40 1"" * 45°",CODO N-024,"CODO NEGRO SOLDABLE CED 40 3"" * 45°",CODO N-021,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 40 1"" * 45°",CODO N-024,"CODO NEGRO SOLDABLE CED 40 4"" * 45°",CODO N-020,Medidas/modelos diferentes
96.8,"CODO NEGRO SOLDABLE CED 40 1"" * 45°",CODO N-024,CODO NEGRO SOLDABLE CED 40 5 * 45°,CODO N-019,Medidas/modelos diferentes
96.8,CODO NEGRO SOLDABLE CED 40 1*90°,CODO N-015,CODO NEGRO SOLDABLE CED 40 2*90°,CODO N-013,Medidas/modelos diferentes
96.8,CODO NEGRO SOLDABLE CED 40 1*90°,CODO N-015,CODO NEGRO SOLDABLE CED 40 3*90°,CODO N-012,Medidas/modelos diferentes
